(0) Homon_Skeletal_Mesh.ao|Anim_Homon_Attack_02_fin
(1) Homon_Skeletal_Mesh.ao|Anim_Homon_Attack_02_frappe
(2) Homon_Skeletal_Mesh.ao|Anim_Homon_Attack_03
(3) Homon_Skeletal_Mesh.ao|Anim_Homon_Big_Combo
(4) Homon_Skeletal_Mesh.ao|Anim_Homon_Death_01
(5) Homon_Skeletal_Mesh.ao|Anim_Homon_Death_02
(6) Homon_Skeletal_Mesh.ao|Anim_Homon_Explode
(7) Homon_Skeletal_Mesh.ao|Anim_Homon_GetUp
(8) Homon_Skeletal_Mesh.ao|Anim_Homon_Hit_01
(9) Homon_Skeletal_Mesh.ao|Anim_Homon_Idle
(10) Homon_Skeletal_Mesh.ao|Anim_Homon_PostCritic
(11) Homon_Skeletal_Mesh.ao|Anim_Homon_Strafe_Left
(12) Homon_Skeletal_Mesh.ao|Anim_Homon_Strafe_Right
(13) Homon_Skeletal_Mesh.ao|Anim_Homon_Walk
(14) Homon_Skeletal_Mesh.ao|Anim_PH_Homon_Stun
